ID,Lemma,Complement,BirthYear,DeathYear,URL,UncertaintyBirth,UncertaintyDeath
59615,Berset,Alain,1972 -,,http://hls-dhs-dss.ch/de/articles/059615/2024-01-19/,,
62210,Rösti,Albert,1967 -,,http://hls-dhs-dss.ch/de/articles/062210/2025-03-06/,,
44059,Metzler-Arnold,Ruth,1964 -,,http://hls-dhs-dss.ch/de/articles/044059/2022-03-03/,,
59614,Keller-Sutter,Karin,1963 -,,http://hls-dhs-dss.ch/de/articles/059614/2023-07-04/,,
46646,Leuthard,Doris,1963 -,,http://hls-dhs-dss.ch/de/articles/046646/2022-06-30/,,
48543,Veteranyi,Aglaja,1962 - 2002,,http://hls-dhs-dss.ch/de/articles/048543/2015-05-07/,,
59596,Amherd,Viola,1962 -,,http://hls-dhs-dss.ch/de/articles/059596/2025-04-23/,,
59661,Cassis,Ignazio,1961 -,,http://hls-dhs-dss.ch/de/articles/059661/2022-11-25/,,
58049,Dürst Benedetti,Marianne,1961 -,,http://hls-dhs-dss.ch/de/articles/058049/2019-06-12/,,
48899,Imsand,Jean-Pascal,1960 - 1994,,http://hls-dhs-dss.ch/de/articles/048899/2007-01-31/,,
59641,Burkhalter,Didier,1960 -,,http://hls-dhs-dss.ch/de/articles/059641/2022-06-02/,,
46585,Sommaruga,Simonetta,1960 -,,http://hls-dhs-dss.ch/de/articles/046585/2022-12-06/,,
59656,Parmelin,Guy,1959 -,,http://hls-dhs-dss.ch/de/articles/059656/2022-03-15/,,
62254,Sonderegger,Christian,1959 -,,http://hls-dhs-dss.ch/de/articles/062254/2023-09-19/,,
49370,Wettstein,Hannes,1958 - 2008,,http://hls-dhs-dss.ch/de/articles/049370/2013-10-28/,,
47177,Spescha,Flurin,1958 - 2000,,http://hls-dhs-dss.ch/de/articles/047177/2012-02-13/,,
49547,Van Audenhove,Mike,1957 - 2009,,http://hls-dhs-dss.ch/de/articles/049547/2015-06-18/,,
58051,Huber,Gabi,1956 -,,http://hls-dhs-dss.ch/de/articles/058051/2019-06-12/,,
45352,Widmer-Schlumpf,Eveline,1956 -,,http://hls-dhs-dss.ch/de/articles/045352/2024-02-06/,,
48759,Viotti,Marcello,1954 - 2005,,http://hls-dhs-dss.ch/de/articles/048759/2012-08-15/,,
47032,Blöchlinger,Urs,1954 - 1995,,http://hls-dhs-dss.ch/de/articles/047032/2002-11-04/,,
48227,Manser,Bruno,1954 - //2005//,,http://hls-dhs-dss.ch/de/articles/048227/2008-08-18/,,
46617,Vaudroz,Jean-Claude,1953 - 2007,,http://hls-dhs-dss.ch/de/articles/046617/2011-08-15/,,
58053,Jann-Odermatt,Beatrice,1952 -,,http://hls-dhs-dss.ch/de/articles/058053/2019-06-12/,,
46584,Schneider-Ammann,Johann,1952 -,,http://hls-dhs-dss.ch/de/articles/046584/2022-12-06/,,
61939,Danuser,Menga,1951 - 2011,,http://hls-dhs-dss.ch/de/articles/061939/2024-12-03/,,
33517,Gehler,Jean-Paul,1951 - 2005,,http://hls-dhs-dss.ch/de/articles/033517/2005-09-05/,,
62256,Jorio,Marco,1951 -,,http://hls-dhs-dss.ch/de/articles/062256/2024-04-16/,,
62229,Durrer,Adalbert,1950 - 2008,,http://hls-dhs-dss.ch/de/articles/062229/2025-02-11/,,
43297,Maspoli,Flavio,1950 - 2007,,http://hls-dhs-dss.ch/de/articles/043297/2007-08-06/,,
43883,Jacot-Guillarmod,Olivier,1950 - 2001,,http://hls-dhs-dss.ch/de/articles/043883/2007-07-03/,,
45540,Delz,Christoph,1950 - 1993,,http://hls-dhs-dss.ch/de/articles/045540/2004-03-19/,,
49422,Maurer,Ueli,1950 -,,http://hls-dhs-dss.ch/de/articles/049422/2024-01-11/,,
60158,Lepori Bonetti,Mimi,1949 - 2016,,http://hls-dhs-dss.ch/de/articles/060158/2022-12-16/,,
33767,Maitre,Jean-Philippe,1949 - 2006,,http://hls-dhs-dss.ch/de/articles/033767/2009-12-08/,,
