office,name_de,name_fr
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O1,Getreideverwaltung,Administration des blés
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O10,Armasuisse Immobilien,Armasuisse immobilier
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O100,"Anstalt für Wasserversorgung, Abwassereinigung und Gewässerschutz","Institut pour l'aménagement, l'épuration et la protection des eaux"
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O101,Institut für Reaktorforschung,Institut pour les recherches en matière de réacteurs
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O102,Schweizerisches Institut für Rechtsvergleichung,Institut suisse de droit comparé
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O103,Pulververwaltung,Intendance des poudres
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O104,Kriegsmaterialverwaltung,Intendance du matériel de guerre
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O105,"Materialprüfungs- und Versuchsanstalt für Industrie, Bauwesen und Gewerbe",Laboratoire des matériaux et de recherche pour l'industrie et les arts et métiers
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O106,Bundesanwaltschaft,Ministère public de la Confédération
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O107,Münzstätte,Monnaie fédérale
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O108,Landesmuseum,Musée national
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O109,Luftamt,Office aérien
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O11,Armasuisse W+T,Armasuisse S+T
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O110,Zentralstelle für Gesamtverteidigung,Office central de la défense
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O111,Drucksachen- und Materialzentrale,Office central des imprimés et du matériel
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O112,Amt für Wasserwirtschaft,Office de l'économie hydraulique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O113,Amt für Elektrizitätswirtschaft,Office de l'économie électrique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O114,Amt für Energiewirtschaft,Office de l'économie énergétique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O115,Bundesamt für Umweltschutz,Office de la protection de l'environnement
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O116,Amt für Wissenschaft und Forschung,Office de la science et de la recherche
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O117,Bundesamt für Metrologie und Akkreditierung,Office de métrologie et d'accréditation
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O118,Bundesamt für Verkehr,Office des transports
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O119,Preiskontrollstelle,Office du contrôle des prix
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O12,Militärversicherung,Assurance militaire
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O120,Bundesamt für Wirtschaft und Arbeit,Office du développement économique et de l'emploi
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O121,Bundesamt für Adjutantur,Office fédéral de l'adjudance
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O122,Bundesamt für Landwirtschaft,Office fédéral de l'agriculture
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O123,Bundesamt für wirtschaftliche Landesversorgung,Office fédéral de l'aménagement du territoire
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O124,Bundesamt für Militärversicherung,Office fédéral de l'assurance militaire
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O125,Bundesamt für Zivilluftfahrt,Office fédéral de l'aviation civile
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O126,Bundesamt für Militärflugwesen und Fliegerabwehr,Office fédéral de l'aviation militaire et de la défense contre avions
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O127,Bundesamt für Umwelt,Office fédéral de l'environnement
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O128,"Bundesamt für Umwelt, Wald und Landschaft","Office fédéral de l'environnement, des forêts et du paysage"
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O129,"Bundesamt für Zuwanderung, Integration und Auswanderung","Office fédéral de l'immigration, de l'intégration et de l'émigration"
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O13,Regulierungsbehörden Infrastruktur,Autorités de régulation des infrastructures
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O130,"Bundesamt für Industrie, Gewerbe und Arbeit","Office fédéral de l'industrie, des arts et métiers et du travail"
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O131,Bundesamt für Informatik und Telekommunikation,Office fédéral de l'informatique et de la télécommunication
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O132,Bundesamt für Organisation,Office fédéral de l'organisation
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O133,Bundesamt für Wasserwirtschaft,Office fédéral de l'économie des eaux
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O134,Bundesamt für Bildung und Wissenschaft,Office fédéral de l'éducation et de la science
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O135,Bundesamt für Energiewirtschaft,Office fédéral de l'énergie
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O136,Bundesamt für Kommunikation,Office fédéral de la communication
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O137,Bundesamt für wirtschaftliche Kriegsvorsorge,Office fédéral de la défense économique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O138,Bundesamt für Berufsbildung und Technologie,Office fédéral de la formation professionnelle et de la technologie
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O139,Bundesamt für Justiz,Office fédéral de la justice
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O14,AHV-Zentrale Ausgleichsstelle,AVS-Centrale de compensation
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O140,Bundesamt für Polizeiwesen,Office fédéral de la police
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O141,Bundesamt für geistiges Eigentum,Office fédéral de la propriété intellectuelle
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O142,Bundesamt für Bevölkerungsschutz,Office fédéral de la protection de la population
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O143,Bundesamt für Gesundheitswesen,Office fédéral de la santé publique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O144,Bundesamt für Statistik,Office fédéral de la statistique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O145,Bundesamt für Lebensmittelsicherheit und Veterinärwesen,Office fédéral de la sécurité alimentaire et des affaires vétérinaires
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O146,Bundesamt für Landestopographie,Office fédéral de la topographie
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O147,Bundesamt für Meteorologie und Klimatologie,Office fédéral de météorologie et de climatologie
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O148,Bundesamt für Kulturpflege,Office fédéral des affaires culturelles
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O149,Bundesamt für Sanitätsdienst,Office fédéral des affaires sanitaires de l'armée
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O15,Militärflugplätze,Aérodromes militaires
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O150,Bundesamt für Militärveterinärdienst,Office fédéral des affaires vétérinaires de l'armée
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O151,Bundesamt für Aussenwirtschaft,Office fédéral des affaires économiques extérieures
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O152,Bundesamt für Privatversicherungswesen,Office fédéral des assurances privées
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O153,Bundesamt für Sozialversicherungen,Office fédéral des assurances sociales
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O154,Bundesamt für Militärflugplätze,Office fédéral des aérodromes militaires
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O155,Bundesamt für Bauten und Logistik,Office fédéral des constructions et de la logistique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O156,Bundesamt für Wasser und Geologie,Office fédéral des eaux et de la géologie
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O157,Bundesamt für Forstwesen,Office fédéral des forêts
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O158,Bundesamt für Migration,Office fédéral des migrations
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O159,Bundesamt für Konjunkturfragen,Office fédéral des questions conjoncturelles
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O16,Zentralbibliothek,Bibliothèque centrale
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O160,Bundesamt für Strassenbau,Office fédéral des routes
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O161,Bundesamt für Flüchtlinge,Office fédéral des réfugiés
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O162,Bundesamt für Übermittlungstruppen,Office fédéral des troupes de transmissions
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O163,Bundesamt für Ausländerfragen,Office fédéral des étrangers
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O164,Bundesamt für Raumentwicklung,Office fédéral du développement territorial
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O165,Bundesamt für Genie und Festungen,Office fédéral du génie et des fortifications
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O166,Bundesamt für Wohnungswesen,Office fédéral du logement
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O167,Eidgenössisches Personalamt,Office fédéral du personnel
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O168,Bundesamt für Sport,Office fédéral du sport
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O169,Bundesamt für Raumplanung,Office fédéral pour l'approvisionnement économique du pays
