"graph","sub","identifier","name"
,"https://ld.admin.ch/district/112","112","Zürich"
,"https://ld.admin.ch/district/108","108","Pfäffikon"
,"https://ld.admin.ch/district/103","103","Bülach"
,"https://ld.admin.ch/district/111","111","Zürich"
,"https://ld.admin.ch/district/111","111","Dietikon"
,"https://ld.admin.ch/district/106","106","Horgen"
,"https://ld.admin.ch/district/101","101","Affoltern"
,"https://ld.admin.ch/district/109","109","Uster"
,"https://ld.admin.ch/district/104","104","Dielsdorf"
,"https://ld.admin.ch/district/107","107","Meilen"
,"https://ld.admin.ch/district/102","102","Andelfingen"
,"https://ld.admin.ch/district/110","110","Winterthur"
,"https://ld.admin.ch/district/105","105","Hinwil"
,"https://ld.admin.ch/district/100","100","Bezirksfreies Gebiet ZH"
,"https://ld.admin.ch/district/900","900","Kt. Zug"
,"https://ld.admin.ch/district/1725","1725","Sarganserland"
,"https://ld.admin.ch/district/1726","1726","See-Gaster"
,"https://ld.admin.ch/district/1721","1721","St. Gallen"
,"https://ld.admin.ch/district/1700","1700","Bezirksfreies Gebiet SG"
,"https://ld.admin.ch/district/1724","1724","Werdenberg"
,"https://ld.admin.ch/district/1727","1727","Toggenburg"
,"https://ld.admin.ch/district/1722","1722","Rorschach"
,"https://ld.admin.ch/district/1728","1728","Wil"
,"https://ld.admin.ch/district/1723","1723","Rheintal"
,"https://ld.admin.ch/district/1712","1712","Untertoggenburg"
,"https://ld.admin.ch/district/1704","1704","Oberrheintal"
,"https://ld.admin.ch/district/1711","1711","Alttoggenburg"
,"https://ld.admin.ch/district/1709","1709","Obertoggenburg"
,"https://ld.admin.ch/district/1703","1703","Unterrheintal"
,"https://ld.admin.ch/district/1710","1710","Neutoggenburg"
,"https://ld.admin.ch/district/1708","1708","See"
,"https://ld.admin.ch/district/1702","1702","Rorschach"
,"https://ld.admin.ch/district/1707","1707","Gaster"
,"https://ld.admin.ch/district/1701","1701","St. Gallen"
,"https://ld.admin.ch/district/1714","1714","Gossau"
,"https://ld.admin.ch/district/1706","1706","Sargans"
,"https://ld.admin.ch/district/1713","1713","Wil"
,"https://ld.admin.ch/district/1705","1705","Werdenberg"
,"https://ld.admin.ch/district/246","246","Bern-Mittelland"
,"https://ld.admin.ch/district/200","200","Bezirksfreies Gebiet BE"
,"https://ld.admin.ch/district/250","250","Interlaken-Oberhasli"
,"https://ld.admin.ch/district/245","245","Emmental"
,"https://ld.admin.ch/district/248","248","Obersimmental-Saanen"
,"https://ld.admin.ch/district/243","243","Seeland"
,"https://ld.admin.ch/district/241","241","Jura bernois"
,"https://ld.admin.ch/district/249","249","Frutigen-Niedersimmental"
,"https://ld.admin.ch/district/244","244","Oberaargau"
,"https://ld.admin.ch/district/247","247","Thun"
,"https://ld.admin.ch/district/242","242","Biel/Bienne"
,"https://ld.admin.ch/district/222","222","Seftigen"
,"https://ld.admin.ch/district/207","207","Courtelary"
