"graph","sub","identifier","name_de","name_fr","name_it"
,"https://ld.admin.ch/canton/1","1","Zürich","Zurich","Zurigo"
,"https://ld.admin.ch/canton/9","9","Zug","Zoug","Zugo"
,"https://ld.admin.ch/canton/17","17","St. Gallen","Saint-Gall","San Gallo"
,"https://ld.admin.ch/canton/2","2","Bern","Berne","Berna"
,"https://ld.admin.ch/canton/5","5","Schwyz","Schwytz","Svitto"
,"https://ld.admin.ch/canton/3","3","Luzern","Lucerne","Lucerna"
,"https://ld.admin.ch/canton/19","19","Aargau","Argovie","Argovia"
,"https://ld.admin.ch/canton/11","11","Solothurn","Soleure","Soletta"
,"https://ld.admin.ch/canton/25","25","Genf","Genève","Ginevra"
,"https://ld.admin.ch/canton/18","18","Graubünden","Grisons","Grigioni"
,"https://ld.admin.ch/canton/22","22","Waadt","Vaud","Vaud"
,"https://ld.admin.ch/canton/23","23","Wallis","Valais","Vallese"
,"https://ld.admin.ch/canton/21","21","Tessin","Tessin","Ticino"
,"https://ld.admin.ch/canton/20","20","Thurgau","Thurgovie","Turgovia"
,"https://ld.admin.ch/canton/24","24","Neuenburg","Neuchâtel","Neuchâtel"
,"https://ld.admin.ch/canton/4","4","Uri","Uri","Uri"
,"https://ld.admin.ch/canton/12","12","Basel-Stadt","Bâle-Ville","Basilea Città"
,"https://ld.admin.ch/canton/13","13","Basel-Landschaft","Bâle-Campagne","Basilea Campagna"
,"https://ld.admin.ch/canton/8","8","Glarus","Glaris","Glarona"
,"https://ld.admin.ch/canton/26","26","Jura","Jura","Giura"
,"https://ld.admin.ch/canton/10","10","Freiburg","Fribourg","Friburgo"
,"https://ld.admin.ch/canton/16","16","Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno"
,"https://ld.admin.ch/canton/15","15","Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno"
,"https://ld.admin.ch/canton/14","14","Schaffhausen","Schaffhouse","Sciaffusa"
,"https://ld.admin.ch/canton/6","6","Obwalden","Obwald","Obvaldo"
,"https://ld.admin.ch/canton/7","7","Nidwalden","Nidwald","Nidvaldo"
